City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Antofagasta,CL,57.9,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
3,Arraial Do Cabo,BR,71.37,few clouds,-22.9661,-42.0278,Pousada Porto Praia
4,Galyugayevskaya,RU,58.14,scattered clouds,43.6969,44.9344,
6,Karratha,AU,76.06,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
8,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
9,Jamestown,US,72.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Chacabuco,AR,56.03,scattered clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
13,Cabedelo,BR,76.89,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
16,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
17,Rikitea,PF,74.01,clear sky,-23.1203,-134.9692,People ThankYou
18,Tabou,CI,76.37,light rain,4.423,-7.3528,hotêl doufoulougou
20,Hambantota,LK,79.79,broken clouds,6.1241,81.1185,Bungalow 63
21,Beloha,MG,63.34,clear sky,-25.1667,45.05,
24,Hilo,US,77.68,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
25,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
28,Albany,US,65.01,scattered clouds,42.6001,-73.9662,
29,Kampong Chhnang,KH,74.26,overcast clouds,12.1667,104.55,Waterfall Resort អមលាំង
33,Meulaboh,ID,75.15,overcast clouds,4.1363,96.1285,Kost Pria
37,Takoradi,GH,76.28,broken clouds,4.8845,-1.7554,Raybow International Hotel
40,Dayong,CN,79.79,light rain,25.0209,118.2898,Haiyue Express Hotel
42,Carnarvon,AU,68.97,clear sky,-24.8667,113.6333,Hospitality Carnarvon
44,Bambous Virieux,MU,68.58,scattered clouds,-20.3428,57.7575,Casa Tia Villa
45,Canakkale,TR,63.18,few clouds,40.0833,26.8333,
46,Bandarbeyla,SO,77.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
47,Nelson Bay,AU,57.25,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
48,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
49,Ahipara,NZ,61.05,few clouds,-35.1667,173.1667,Ahipara Holiday Park
51,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
53,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
54,Kibondo,TZ,66.7,clear sky,-3.5864,30.7203,Pongezi Annex Guest House
57,Palmer,US,68.41,few clouds,42.1584,-72.3287,Wedgewood Motel
63,Shakawe,BW,78.01,broken clouds,-18.3667,21.85,Ditlhapi Guest House
64,Atuona,PF,77.94,scattered clouds,-9.8,-139.0333,Villa Enata
65,Cap Malheureux,MU,69.87,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
66,Ribeira Grande,PT,70.83,clear sky,38.5167,-28.7,Quinta da Meia Eira
67,Mackay,AU,71.44,broken clouds,-21.15,149.2,International Lodge Motel
70,Hami,CN,72.59,overcast clouds,42.8,93.45,Laoyutang Resort
71,Bambanglipuro,ID,74.84,overcast clouds,-7.95,110.2833,Puri Brata
72,Bull Savanna,JM,78.6,broken clouds,17.8868,-77.5902,Big Red's
73,Bocana De Paiwas,NI,78.98,light rain,12.7857,-85.1227,Guapinol Cabaña Monge
78,San Pedro,PH,78.55,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
79,Bokoro,TD,79.48,overcast clouds,12.3807,17.0568,
80,Mount Isa,AU,65.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
82,Cuite,BR,68.22,scattered clouds,-6.4836,-36.1536,Hotel Planalto
83,Chuy,UY,58.64,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Vaini,TO,71.71,broken clouds,-21.2,-175.2,Keleti Beach Resort
86,Geraldton,AU,57.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
87,Wadi Maliz,TN,69.62,broken clouds,36.4681,8.5495,HOPITAL
89,Zarand,IR,73.18,clear sky,30.8127,56.56399999999999,خونه بابا حمید
92,Kiboga,UG,62.85,broken clouds,0.9161,31.7742,Marie Lustenberger Guest House
93,Linhares,BR,70.48,broken clouds,-19.3911,-40.0722,Hotel Conceição
94,Faanui,PF,78.4,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
97,East London,ZA,57.52,scattered clouds,-33.0153,27.9116,Tu Casa
98,Port Alfred,ZA,56.61,light rain,-33.5906,26.891,The Halyards Hotel
102,Lagos,NG,76.87,scattered clouds,6.5833,3.75,
105,Grand Gaube,MU,69.84,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
107,Mahebourg,MU,68.76,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
116,Owando,CG,73.89,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
118,Puerto Ayora,EC,68.61,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Mzimba,MW,64.09,clear sky,-11.9,33.6,Zagegs Hotel
123,Harper,LR,77.07,light rain,4.375,-7.7169,Screensaver
125,Bismarck,US,67.06,few clouds,46.8083,-100.7837,Ramkota Hotel & Conference Center
126,Seoul,KR,69.4,broken clouds,37.5683,126.9778,롯데호텔 서울
127,Nouadhibou,MR,73.17,clear sky,20.930999999999997,-17.0347,El Medina
129,Marzuq,YE,77.88,overcast clouds,14.4,46.4667,
133,Tshikapa,CD,78.17,overcast clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
136,Caravelas,BR,72.84,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
