,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Calabazar De Sagua,CU,22.6447,-79.8961,82.87,83,40,8.05,scattered clouds
1,Antofagasta,CL,-23.65,-70.4,57.9,82,100,6.04,overcast clouds
2,Yertarskiy,RU,56.7902,64.2995,34.23,95,82,5.66,broken clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,71.37,88,15,27.67,few clouds
4,Galyugayevskaya,RU,43.6969,44.9344,58.14,62,47,5.35,scattered clouds
5,Busselton,AU,-33.65,115.3333,51.51,64,0,9.42,clear sky
6,Karratha,AU,-20.7377,116.8463,76.06,25,100,25.72,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,49.62,87,99,3.8,overcast clouds
8,Avarua,CK,-21.2078,-159.775,78.85,69,75,6.91,broken clouds
9,Jamestown,US,42.097,-79.2353,72.72,87,98,9.57,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,40.51,96,100,6.38,overcast clouds
11,Chacabuco,AR,-34.6417,-60.4739,56.03,74,37,9.6,scattered clouds
12,Bouza,NE,14.4229,6.0428,89.31,26,6,6.13,clear sky
13,Cabedelo,BR,-6.9811,-34.8339,76.89,72,37,14.41,scattered clouds
14,Zheleznodorozhnyy,RU,55.7503,38.0042,43.32,93,100,14.18,moderate rain
15,Punta Arenas,CL,-53.15,-70.9167,48.38,79,100,16.31,overcast clouds
16,Kununurra,AU,-15.7667,128.7333,78.78,69,46,5.75,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,74.01,77,6,13.53,clear sky
18,Tabou,CI,4.423,-7.3528,76.37,89,21,5.93,light rain
19,Bredasdorp,ZA,-34.5322,20.0403,46.31,73,5,4.7,clear sky
20,Hambantota,LK,6.1241,81.1185,79.79,81,74,14.09,broken clouds
21,Beloha,MG,-25.1667,45.05,63.34,73,0,8.39,clear sky
22,Dillon,US,34.4166,-79.3712,84.54,64,100,11.88,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,13.6,72,88,8.72,overcast clouds
24,Hilo,US,19.7297,-155.09,77.68,76,85,8.57,light rain
25,Bengkulu,ID,-3.8004,102.2655,76.03,88,96,2.35,overcast clouds
26,Vila Velha,BR,-20.3297,-40.2925,75.15,83,40,6.91,scattered clouds
27,Ostrovnoy,RU,68.0531,39.5131,36.09,85,64,12.55,broken clouds
28,Albany,US,42.6001,-73.9662,65.01,78,34,4.41,scattered clouds
29,Kampong Chhnang,KH,12.1667,104.55,74.26,94,100,0.69,overcast clouds
30,Vostok,RU,46.4856,135.8833,46.96,97,100,2.98,moderate rain
31,Winchester,GB,51.0651,-1.3187,51.98,86,45,4.12,scattered clouds
32,Chokurdakh,RU,70.6333,147.9167,28.85,69,97,9.1,overcast clouds
33,Meulaboh,ID,4.1363,96.1285,75.15,88,95,2.13,overcast clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,90,10.36,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,83.17,73,83,11.56,broken clouds
36,Port Elizabeth,ZA,-33.918,25.5701,53.89,82,75,18.41,broken clouds
37,Takoradi,GH,4.8845,-1.7554,76.28,92,74,8.19,broken clouds
38,Bluff,NZ,-46.6,168.3333,48.38,84,100,11.48,light rain
39,Yellowknife,CA,62.456,-114.3525,44.29,72,100,4.09,overcast clouds
40,Dayong,CN,25.0209,118.2898,79.79,89,0,1.41,light rain
41,Ancud,CL,-41.8697,-73.8203,49.53,80,5,3.96,clear sky
42,Carnarvon,AU,-24.8667,113.6333,68.97,38,0,16.15,clear sky
43,San Policarpo,PH,12.1791,125.5072,80.74,81,48,5.61,scattered clouds
44,Bambous Virieux,MU,-20.3428,57.7575,68.58,72,48,16.42,scattered clouds
45,Canakkale,TR,40.0833,26.8333,63.18,56,21,3.42,few clouds
46,Bandarbeyla,SO,9.4942,50.8122,77.0,83,85,25.99,overcast clouds
47,Nelson Bay,AU,-32.7167,152.15,57.25,58,37,16.93,scattered clouds
48,Camacha,PT,33.0833,-16.3333,69.22,68,40,12.66,scattered clouds
49,Ahipara,NZ,-35.1667,173.1667,61.05,64,13,7.65,few clouds
50,Havoysund,NO,70.9963,24.6622,43.68,65,4,21.23,clear sky
51,Conde,BR,-7.2597,-34.9075,72.86,88,0,5.75,clear sky
52,Poyarkovo,RU,49.6,128.6833,48.94,77,100,5.79,overcast clouds
53,Georgetown,MY,5.4112,100.3354,78.73,94,40,4.61,scattered clouds
54,Kibondo,TZ,-3.5864,30.7203,66.7,48,8,2.46,clear sky
55,Butaritari,KI,3.0707,172.7902,82.98,71,86,15.03,overcast clouds
56,Haines Junction,CA,60.7522,-137.5108,44.35,88,100,3.13,light rain
57,Palmer,US,42.1584,-72.3287,68.41,68,20,3.44,few clouds
58,Thompson,CA,55.7435,-97.8558,51.96,62,75,11.5,broken clouds
59,Nikolskoye,RU,59.7035,30.7861,42.69,74,97,7.25,light rain
60,Hobart,AU,-42.8794,147.3294,48.06,57,40,12.66,scattered clouds
61,Alekseyevsk,RU,57.8406,108.3492,49.73,82,66,8.3,broken clouds
62,Saldanha,ZA,-33.0117,17.9442,54.77,66,0,17.92,clear sky
63,Shakawe,BW,-18.3667,21.85,78.01,22,68,0.81,broken clouds
64,Atuona,PF,-9.8,-139.0333,77.94,72,35,19.89,scattered clouds
65,Cap Malheureux,MU,-19.9842,57.6142,69.87,72,8,20.76,clear sky
66,Ribeira Grande,PT,38.5167,-28.7,70.83,72,3,13.15,clear sky
67,Mackay,AU,-21.15,149.2,71.44,63,66,4.99,broken clouds
68,Pevek,RU,69.7008,170.3133,26.98,81,95,2.26,overcast clouds
69,Tasiilaq,GL,65.6145,-37.6368,37.56,73,69,8.99,broken clouds
70,Hami,CN,42.8,93.45,72.59,30,100,3.74,overcast clouds
71,Bambanglipuro,ID,-7.95,110.2833,74.84,88,90,2.19,overcast clouds
72,Bull Savanna,JM,17.8868,-77.5902,78.6,75,75,0.94,broken clouds
73,Bocana De Paiwas,NI,12.7857,-85.1227,78.98,86,87,4.09,light rain
74,Lorengau,PG,-2.0226,147.2712,80.78,79,100,1.7,overcast clouds
75,Gawler,AU,-34.6,138.7333,51.31,66,13,8.57,few clouds
76,Flinders,AU,-34.5833,150.8552,52.52,52,99,13.62,overcast clouds
77,Kodiak,US,57.79,-152.4072,53.49,64,64,17.4,broken clouds
78,San Pedro,PH,14.35,121.0167,78.55,86,98,5.21,overcast clouds
