City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Trincomalee,8.5711,81.2335,81.09,81,97,7.56,LK,2021-09-19 21:28:10
1,Busselton,-33.65,115.3333,46.04,81,0,11.12,AU,2021-09-19 21:28:10
2,Rikitea,-23.1203,-134.9692,73.74,76,1,11.54,PF,2021-09-19 21:28:11
3,Albany,42.6001,-73.9662,72.84,57,4,4.0,US,2021-09-19 21:26:52
4,Jamestown,42.097,-79.2353,76.32,43,1,3.44,US,2021-09-19 21:28:11
5,Nikolskoye,59.7035,30.7861,41.02,76,100,8.41,RU,2021-09-19 21:24:09
6,Zhangjiakou,40.81,114.8794,55.89,92,100,1.36,CN,2021-09-19 21:28:11
7,Grindavik,63.8424,-22.4338,48.67,93,75,25.32,IS,2021-09-19 21:28:12
8,Paranhos,-23.8928,-55.4311,94.15,22,95,3.62,BR,2021-09-19 21:28:12
9,Alcains,39.9164,-7.4566,70.36,46,0,4.88,PT,2021-09-19 21:28:12
10,Vaini,-21.2,-175.2,75.36,78,20,11.5,TO,2021-09-19 21:28:12
11,Baicheng,45.6167,122.8167,50.68,84,100,6.89,CN,2021-09-19 21:28:13
12,Ushuaia,-54.8,-68.3,47.86,49,75,24.16,AR,2021-09-19 21:23:18
13,Chuy,-33.6971,-53.4616,61.99,96,100,7.76,UY,2021-09-19 21:28:13
14,Lebu,-37.6167,-73.65,52.14,70,1,17.45,CL,2021-09-19 21:28:13
15,Kulykiv,50.3142,24.8176,44.67,93,100,13.73,UA,2021-09-19 21:28:13
16,New Norfolk,-42.7826,147.0587,46.92,86,73,1.01,AU,2021-09-19 21:23:34
17,Yarmouth,41.7057,-70.2286,69.94,65,1,18.01,US,2021-09-19 21:24:41
18,Atuona,-9.8,-139.0333,77.94,79,41,21.5,PF,2021-09-19 21:28:14
19,Arraial Do Cabo,-22.9661,-42.0278,75.16,83,75,4.61,BR,2021-09-19 21:28:14
20,Touros,-5.1989,-35.4608,79.7,75,100,18.12,BR,2021-09-19 21:23:21
21,Ketchikan,55.3422,-131.6461,55.87,88,75,9.22,US,2021-09-19 21:28:14
22,Port Alfred,-33.5906,26.891,61.47,81,77,8.5,ZA,2021-09-19 21:28:15
23,Leningradskiy,69.3833,178.4167,27.52,85,90,22.01,RU,2021-09-19 21:28:15
24,Auki,-8.7676,160.7034,80.19,79,100,5.37,SB,2021-09-19 21:28:15
25,Hermanus,-34.4187,19.2345,57.9,78,0,11.32,ZA,2021-09-19 21:23:29
26,Narsaq,60.9167,-46.05,43.02,82,69,3.76,GL,2021-09-19 21:28:15
27,Nara,34.6851,135.8049,72.72,84,50,1.5,JP,2021-09-19 21:28:16
28,Thompson,55.7435,-97.8558,53.76,87,90,16.11,CA,2021-09-19 21:28:16
29,Tulum,20.2167,-87.4667,89.65,61,7,7.0,MX,2021-09-19 21:28:16
30,Beruwala,6.4788,79.9828,79.36,85,20,5.17,LK,2021-09-19 21:28:17
31,Mataura,-46.1927,168.8643,49.48,90,51,4.63,NZ,2021-09-19 21:28:17
32,Baruun-Urt,46.6806,113.2792,50.79,89,97,8.12,MN,2021-09-19 21:28:17
33,Houston,29.7633,-95.3633,95.31,64,1,4.0,US,2021-09-19 21:23:32
34,Saquena,-4.6667,-73.5167,94.96,38,78,2.55,PE,2021-09-19 21:28:17
35,North Platte,41.1239,-100.7654,90.0,37,1,3.0,US,2021-09-19 21:25:49
36,Cabo San Lucas,22.8909,-109.9124,94.51,62,20,11.5,MX,2021-09-19 21:24:13
37,San Ignacio,17.1561,-89.0714,95.14,52,40,6.91,BZ,2021-09-19 21:28:18
38,Constitucion,-35.3333,-72.4167,55.65,65,2,17.22,CL,2021-09-19 21:28:18
39,Victoria,22.2855,114.1577,84.33,87,27,4.03,HK,2021-09-19 21:26:38
40,Bambous Virieux,-20.3428,57.7575,70.05,60,40,5.75,MU,2021-09-19 21:28:18
41,Tuktoyaktuk,69.4541,-133.0374,44.6,53,75,16.11,CA,2021-09-19 21:28:19
42,Xinqing,48.2333,129.5,39.2,93,63,1.43,CN,2021-09-19 21:28:19
43,Bagotville,-28.9833,153.4167,61.65,99,3,3.85,AU,2021-09-19 21:28:19
44,Kapaa,22.0752,-159.319,80.58,73,90,1.01,US,2021-09-19 21:28:19
45,Shingu,33.7333,135.9833,71.91,85,97,5.32,JP,2021-09-19 21:23:42
46,Loandjili,-4.7561,11.8578,75.31,83,40,2.3,CG,2021-09-19 21:28:20
47,Pombia,45.653,8.6336,59.13,81,0,8.05,IT,2021-09-19 21:28:20
48,Cherskiy,68.75,161.3,27.34,66,24,7.0,RU,2021-09-19 21:28:20
49,Kieta,-6.2167,155.6333,79.63,84,94,4.21,PG,2021-09-19 21:28:21
50,San Antero,9.3741,-75.7589,82.17,79,86,7.61,CO,2021-09-19 21:28:21
51,Lorengau,-2.0226,147.2712,82.06,76,82,6.82,PG,2021-09-19 21:28:21
52,Da Lat,11.9465,108.4419,58.93,98,100,0.81,VN,2021-09-19 21:28:21
53,Altamont,42.2068,-121.7372,59.77,54,75,3.0,US,2021-09-19 21:28:22
54,Kavieng,-2.5744,150.7967,81.77,76,29,9.95,PG,2021-09-19 21:28:22
55,Chokurdakh,70.6333,147.9167,23.79,86,91,7.23,RU,2021-09-19 21:28:22
56,Aligudarz,33.4006,49.6949,59.88,23,0,2.48,IR,2021-09-19 21:28:22
57,Anloga,5.7947,0.8973,79.02,88,36,11.41,GH,2021-09-19 21:28:23
58,Acara,-1.9608,-48.1967,78.87,81,100,3.4,BR,2021-09-19 21:28:23
59,Svetlogorsk,52.6333,29.7333,49.06,97,100,11.14,BY,2021-09-19 21:28:23
60,Ribeira Grande,38.5167,-28.7,70.02,64,37,8.95,PT,2021-09-19 21:28:23
61,Porbandar,21.6422,69.6093,80.73,85,6,10.45,IN,2021-09-19 21:28:24
62,Portland,45.5234,-122.6762,66.9,81,75,4.0,US,2021-09-19 21:26:49
63,Weston,26.1004,-80.3998,88.05,80,75,1.01,US,2021-09-19 21:28:24
64,Port Elizabeth,-33.918,25.5701,57.49,82,40,10.36,ZA,2021-09-19 21:23:30
65,Codrington,-38.2667,141.9667,45.73,81,34,20.24,AU,2021-09-19 21:28:24
